Clasificación;Nombre_Señal;URL
Demarcación Transitoria;Calle o carretera en construcción o cerrada;https://pablokriger.github.io/testvial/Images/T1.jpg
Demarcación Transitoria;Desvío;https://pablokriger.github.io/testvial/Images/T2.jpg
Demarcación Transitoria;Carretera de un solo carril;https://pablokriger.github.io/testvial/Images/T3.jpg
Demarcación Transitoria;Estrechamiento de calzada;https://pablokriger.github.io/testvial/Images/T4.jpg
Demarcación Transitoria;Banderillero;https://pablokriger.github.io/testvial/Images/T5.jpg
Demarcación Transitoria;Hombres trabajando;https://pablokriger.github.io/testvial/Images/T6.jpg
Demarcación Transitoria;Equipo pesado en la vía;https://pablokriger.github.io/testvial/Images/T7.jpg
Demarcación Transitoria;Trabajos en la banquina;https://pablokriger.github.io/testvial/Images/T8.jpg
Demarcación Transitoria;Zona de explosivos;https://pablokriger.github.io/testvial/Images/T9.jpg
Demarcación Transitoria;Longitud de la construcción;https://pablokriger.github.io/testvial/Images/T10.jpg
Demarcación Transitoria;Fin de construcción;https://pablokriger.github.io/testvial/Images/T11.jpg
Demarcación Transitoria;Delineadores;https://pablokriger.github.io/testvial/Images/T12.jpg
Demarcación Transitoria;Vallas (Tipo I);https://pablokriger.github.io/testvial/Images/T13.jpg
Demarcación Transitoria;Vallas (Tipo II);https://pablokriger.github.io/testvial/Images/T14.jpg
Demarcación Transitoria;Vallas (Tipo III);https://pablokriger.github.io/testvial/Images/T15.jpg
Demarcación Transitoria;Conos;https://pablokriger.github.io/testvial/Images/T16.jpg
Demarcación Transitoria;Tambores;https://pablokriger.github.io/testvial/Images/T17.jpg
Demarcación Transitoria;Muro Jersey;https://pablokriger.github.io/testvial/Images/T18.jpg
Demarcación Horizontal;Línea de separación de sentido de circulación (línea individual continua);https://pablokriger.github.io/testvial/Images/H1a.jpg
Demarcación Horizontal;Línea de separación de sentido de circulación (líneas divisorias paralelas continuas);https://pablokriger.github.io/testvial/Images/H1b.jpg
Demarcación Horizontal;Línea de separación de sentido de circulación (línea divisoria continua paralela a otra discontinua);https://pablokriger.github.io/testvial/Images/H1c.jpg
Demarcación Horizontal;Línea de separación de sentido de circulación (líneas divisorias paralelas discontinuas para carriles reversibles);https://pablokriger.github.io/testvial/Images/H1d.jpg
Demarcación Horizontal;Líneas continuas y discontinuas paralelas (tratamiento en curvas);https://pablokriger.github.io/testvial/Images/H1e.jpg
Demarcación Horizontal;Línea de carril (línea continua divisoria de corrientas del mismo sentido) (no debe ser traspasada ni circular sobre ella);https://pablokriger.github.io/testvial/Images/H2a.jpg
Demarcación Horizontal;Línea de carril (línea discontinua divisoria de corrientes del mismo sentido) (indica la posibilida de ser traspasada);https://pablokriger.github.io/testvial/Images/H2b.jpg
Demarcación Horizontal;Líneas de carril exclusivo (doble línea continua);https://pablokriger.github.io/testvial/Images/H2c.jpg
Demarcación Horizontal;Línea de carril preferencial (línea de carril de mayor ancho);https://pablokriger.github.io/testvial/Images/H2d.jpg
Demarcación Horizontal;Línea de carril exclusivo y carril preferencial;https://pablokriger.github.io/testvial/Images/H2e.jpg
Demarcación Horizontal;Línea de borde de calzada (línea continua);https://pablokriger.github.io/testvial/Images/H3a.jpg
Demarcación Horizontal;Línea de borde de calzada (ingreso lateral);https://pablokriger.github.io/testvial/Images/H3b.jpg
Demarcación Horizontal;Marcas transversales (línea de detención);https://pablokriger.github.io/testvial/Images/H4a.jpg
Demarcación Horizontal;Marcas transversales (línea de detención con ingreso lateral);https://pablokriger.github.io/testvial/Images/H4b.jpg
Demarcación Horizontal;Senda peatonal;https://pablokriger.github.io/testvial/Images/H5a.jpg
Demarcación Horizontal;Senda peatonal (cebrado);https://pablokriger.github.io/testvial/Images/H5b.jpg
Demarcación Horizontal;Senda peatonal (cebrado);https://pablokriger.github.io/testvial/Images/H5c.jpg
Demarcación Horizontal;Senda peatonal (con línea de frenado previa);https://pablokriger.github.io/testvial/Images/H5d.jpg
Demarcación Horizontal;Senda para ciclistas;https://pablokriger.github.io/testvial/Images/H6a.jpg
Demarcación Horizontal;Senda para ciclistas (cebrado);https://pablokriger.github.io/testvial/Images/H6b.jpg
Demarcación Horizontal;Líneas auxiliares para reducción de velocidad;https://pablokriger.github.io/testvial/Images/H7a.jpg
Demarcación Horizontal;Líneas auxiliares para reducción de velocidad;https://pablokriger.github.io/testvial/Images/H7b.jpg
Demarcación Horizontal;Marcas especiales (marca canalizadora de tránsito e isletas);https://pablokriger.github.io/testvial/Images/H8a.jpg
Demarcación Horizontal;Marcas canalizadora de tránsito e isletas para circulación bidireccional (advierten la presencia de obstáculos);https://pablokriger.github.io/testvial/Images/H8b.jpg
Demarcación Horizontal;Marcas canalizadora de tránsito e isletas para circulación unidireccional (advierten la presencia de obstáculos);https://pablokriger.github.io/testvial/Images/H8c.jpg
Demarcación Horizontal;Marcas canalizadora de tránsito e isletas para circulación unidireccional (advierten la reunificación de la vía;https://pablokriger.github.io/testvial/Images/H8d.jpg
Demarcación Horizontal;Flecha simple;https://pablokriger.github.io/testvial/Images/H9a.jpg
Demarcación Horizontal;Flecha curvada;https://pablokriger.github.io/testvial/Images/H9b.jpg
Demarcación Horizontal;Flecha combinada;https://pablokriger.github.io/testvial/Images/H9c.jpg
Demarcación Horizontal;Flechas indicatorias de circulación dentro del carril;https://pablokriger.github.io/testvial/Images/H9d.jpg
Demarcación Horizontal;Pare (obligación de detener totalmente la marcha);https://pablokriger.github.io/testvial/Images/H10.jpg
Demarcación Horizontal;Estacionamiento (paralelo);https://pablokriger.github.io/testvial/Images/H11a.jpg
Demarcación Horizontal;Estacionamiento (90º);https://pablokriger.github.io/testvial/Images/H11b.jpg
Demarcación Horizontal;Estacionamiento (45º);https://pablokriger.github.io/testvial/Images/H11c.jpg
Demarcación Horizontal;Estacionamiento (exclusivo);https://pablokriger.github.io/testvial/Images/H11d.jpg
Demarcación Horizontal;Espacio restringido al estacionamiento;https://pablokriger.github.io/testvial/Images/H11e.jpg
Demarcación Horizontal;Inscripciones (parada de transporte);https://pablokriger.github.io/testvial/Images/H12a.jpg
Demarcación Horizontal;Inscripciones (carril exclusivo);https://pablokriger.github.io/testvial/Images/H12b.jpg
Demarcación Horizontal;Inscripciones (carril de emergencia);https://pablokriger.github.io/testvial/Images/H12c.jpg
Demarcación Horizontal;Inscripciones (máxima velocidad);https://pablokriger.github.io/testvial/Images/H12d.jpg
Demarcación Horizontal;Inscripciones (carril exclusivo autos);https://pablokriger.github.io/testvial/Images/H12e.jpg
Demarcación Horizontal;Inscripciones (ceda el paso);https://pablokriger.github.io/testvial/Images/H12f.jpg
Demarcación Horizontal;Inscripciones (estacionamiento);https://pablokriger.github.io/testvial/Images/H12g.jpg
Demarcación Horizontal;Cruce ferroviario;https://pablokriger.github.io/testvial/Images/H13a.jpg
Demarcación Horizontal;Cruce ferroviario;https://pablokriger.github.io/testvial/Images/H13b.jpg
Demarcación Horizontal;Separador de tránsito;https://pablokriger.github.io/testvial/Images/H14.jpg
Demarcación Horizontal;Cordones pintados (amarillo: prohibido estacionar, pudiendo detenerse. Rojo: prohibido estacionar o detenerse);https://pablokriger.github.io/testvial/Images/H15a.jpg
Demarcación Horizontal;Cordón amarillo (prohibido estacionar pudiéndo detenerse);https://pablokriger.github.io/testvial/Images/H15b.jpg
Demarcación Horizontal;Cordón rojo (prohibido estacionar o detenerse);https://pablokriger.github.io/testvial/Images/H15c.jpg
Demarcación Horizontal;Tachas (reflectivas o no reflectivas);https://pablokriger.github.io/testvial/Images/H16.jpg
Demarcación Horizontal;Delineadores (conos);https://pablokriger.github.io/testvial/Images/H17a.jpg
Demarcación Horizontal;Delineadores (paneles);https://pablokriger.github.io/testvial/Images/H17b.jpg
Demarcación Horizontal;Para niebla (autovía) (si se ven dos, máx. 60. Si se ve una, máx. 40);https://pablokriger.github.io/testvial/Images/H18a.jpg
Demarcación Horizontal;Para niebla (si se ven dos, máx. 60. Si se ve una, máx. 40);https://pablokriger.github.io/testvial/Images/H18b.jpg
Demarcación Horizontal;Distribución de marcas en implementación urbana;https://pablokriger.github.io/testvial/Images/H19.jpg
Demarcación Luminosa;Semáforo con visera;https://pablokriger.github.io/testvial/Images/L1.jpg
Demarcación Luminosa;Semáforo sin visera;https://pablokriger.github.io/testvial/Images/L2.jpg
Demarcación Luminosa;Semáforo de gran sección roja con visera;https://pablokriger.github.io/testvial/Images/L3.jpg
Demarcación Luminosa;Semáforo de gran sección roja sin visera;https://pablokriger.github.io/testvial/Images/L4.jpg
